Tenant Name,Address,Region,Record Type,Primary Category,Status,CloseDate,OpenDate,openclosed,Last Reviewed/Verified Date,Tenant 18-Digit ID,Account: Account 18-Digit ID,Longitude,Latitude
Gan Accademia Preschool,2 Gold Street,BID NE,Local Resources,Education,Current,,5/25/2021,opened,5/25/2021,a152M00002NZ7zrQAD,0012M00002XBkpUQAT,-74.0069841,40.7073611
Bluestone Lane,2 River Terrace,BPC,Restaurant/Bar,Quick Eats,Current,,3/24/2021,opened,3/24/2021,a152M00002Mn3NjQAJ,0012M00002VXbuTQAT,-74.01575056,40.71573285
Dntl Bar,20 Broad Street,BID SE,Local Resources,Medical,Current,,3/1/2021,opened,3/3/2021,a152M00002ImZ3RQAV,0012M00002UCOwvQAH,-74.01145862,40.70660575
Blue Bottle Coffee,20 Broad Street,BID SE,Restaurant/Bar,Quick Eats,Current,,7/6/2020,opened,1/13/2021,a152M00002JjR2DQAV,0012M00002NbFQcQAN,-74.0113826,40.7067997
Krispy Kreme,200 Broadway,BID NE,Restaurant/Bar,Quick Eats,Current,,7/13/2020,opened,7/15/2020,a152M00002JjRo3QAF,0012M00002Nb6QHQAZ,-74.0089171,40.7104473
Sant Ambroeus,200 Vesey Street,WFC,Restaurant/Bar,Full Service Dining,Current,,11/9/2020,opened,11/9/2020,a152M00002KuiSjQAJ,0012M00002PnrSwQAJ,-74.01486605,40.71355765
Clean Market,200 Vesey Street,WFC,Shopping,Grocery & Convenience,Current,,9/28/2020,opened,1/11/2021,a152M00002KS0DTQA1,0012M00002PMqysQAD,-74.01486605,40.71355765
Caravan Uyghur Cuisine,200 Water Street,BID NE,Restaurant/Bar,Quick Eats,Current,,7/1/2020,opened,6/23/2020,a152M00002JQnX6QAL,0012M00002Mz4D2QAJ,-74.0067575,40.7073413
Capo Capo Cafe,21 Fulton Street,SSS,Restaurant/Bar,Quick Eats,Current,,6/4/2021,opened,6/4/2021,a152M00002NdznzQAB,0012M00002Xu9HVQAZ,-74.0036624,40.7071343
PupCulture,21 Murray Street,TBS,Shopping,"Pets Store, Supplies & Services",Current,,6/28/2021,opened,7/9/2021,a152M00002OBERdQAP,0012M00002Ys8K9QAJ,-74.0081911,40.71376365
Courtyard Downtown Financial District,215 Pearl Street,BID NE,Hotel,,Current,,9/7/2021,opened,9/7/2021,a152M00002JgbjWQAR,0012M00002NaeeWQAR,-74.006472,40.7072689
Residence Inn Downtown Manhattan/Financial District,215 Pearl Street,BID NE,Hotel,,Current,,10/1/2021,opened,9/9/2021,a152M00002JgbkZQAR,0012M00002NaeeXQAR,-74.006472,40.7072689
Santander Bank,222 Broadway,BID NE,Personal/Business Services,ATM & Banking,Current,,4/16/2021,opened,4/12/2021,a152M00002MmHg7QAF,0012M00002WHj9iQAD,-74.00839314,40.710852
Carbon Health,225 Liberty Street,WFC,Local Resources,Urgent Care / Hospital,Current,,9/7/2020,opened,1/14/2021,a152M00002KD7mdQAD,0012M00002PKguiQAD,-74.01543606,40.71227205
Adam Grooming Atelier,225 Liberty Street,WFC,Personal/Business Services,Hair Salons & Barber Shops,Current,,5/27/2021,opened,5/27/2021,a152M00002NaSLqQAN,0012M00002XCIccQAH,-74.01543606,40.71227205
Tagmo,226 Front Street,SSS,Restaurant/Bar,Full Service Dining,Current,,9/17/2021,opened,9/8/2021,a152M00002PM2BYQA1,0012M00002aJ2rwQAC,-74.00219903,40.70768195
Seaport House,229 Front Street,SSS,Restaurant/Bar,Full Service Dining,Current,,11/22/2020,opened,1/4/2021,a152M00000BPTmyQAH,0012M000024qcHmQAI,-74.002011,40.707505
SaksWorks,230 Vesey Street,WFC,Personal/Business Services,Flexible Office Spaces,Current,,9/6/2021,opened,8/10/2021,a152M00002NN7A9QAL,0012M00002WKv2xQAD,-74.0087501,40.7114441
Cicci Di Carne,230 Vesey Street,WFC,Restaurant/Bar,Quick Eats,Current,,7/5/2021,opened,7/8/2021,a152M00002OAakdQAD,0012M00002YrdTMQAZ,-74.0087501,40.7114441
Adam Lippes,230 Vesey Street,WFC,Shopping,Clothing,Current,,3/15/2021,opened,3/16/2021,a152M00002Meve1QAB,0012M00002UESjgQAH,-74.0087501,40.7114441
Norwegian Wool,230 Vesey Street,WFC,Shopping,Clothing,Current,,9/7/2021,opened,9/7/2021,a152M00002PKlUtQAL,0012M00002aIzxkQAC,-74.0087501,40.7114441
Thai Farm Kitchen,261 Water Street,SSS,Restaurant/Bar,Full Service Dining,Former,6/3/2021,6/19/2020,opened/closed,6/3/2021,a152M00002JNCv9QAH,0012M00002MxhVWQAZ,-74.00172361,40.7082435
Lil Chef Mama,27 Cliff Street,BID NE,Restaurant/Bar,Full Service Dining,Current,,4/30/2021,opened,5/17/2021,a152M00002NVbAfQAL,0012M00002XAeBlQAL,-74.00534991,40.70848115
Daily Goods,270 Broadway,TBS,Restaurant/Bar,Quick Eats,Current,,9/7/2021,opened,9/8/2021,a152M00002PM25zQAD,0012M00002aJ2nkQAC,-74.00699576,40.71427395
Indeed Innovation,275 Water Street,SSS,Storefront Commercial,,Current,,7/19/2021,opened,7/20/2021,a152M00002ONyAzQAL,0012M00002Yt1MtQAJ,-74.00098715,40.7085476
Gold Studios,277 Water Street,SSS,Storefront Commercial,,Current,,7/19/2021,opened,7/20/2021,a152M00002ONy93QAD,0012M00002Yt1L2QAJ,-74.00089705,40.7085598
Alamo Drafthouse,28 Liberty Street,BID SE,Point of Interest,"Theaters, Cinemas & Performing Arts",Coming Soon,,11/15/2021,opened,9/29/2021,a152M00002PeEFVQA3,0012M00002aKhFRQA0,-74.0145067,40.7110691
The Green Door Beauty Spa,28 Water Street,BID SE,Personal/Business Services,Nail Salons; Spas,Current,,11/4/2020,opened,8/4/2021,a152M00002OZqjRQAT,0012M00002YuCCSQA3,-74.0111038,40.7032803
787 Coffee Co.,30 Broad Street,BID SE,Restaurant/Bar,Quick Eats,Current,,1/19/2021,opened,1/19/2021,a152M00002LsyHGQAZ,0012M00002U2kO2QAJ,-74.011905,40.7062033
Amaranth,30 Park Place,BID NW,Shopping,Florists,Current,,8/16/2021,opened,8/18/2021,a152M00002NmBAgQAN,0012M00002XvTNBQA3,-74.00899,40.7129906
Spectrum,30 Warren Street,TBS,Shopping,Electronics,Current,,11/30/2020,opened,11/17/2020,a152M00002L3VzQQAV,0012M00002R5DDcQAN,-74.0138587,40.716797
Peaches Low Country Kitchen,34 Cliff Street,BID NE,Restaurant/Bar,Quick Eats,Current,,11/23/2020,opened,11/17/2020,a152M00002L3VpaQAF,0012M00002R5D38QAF,-74.004898,40.7082751
Allure Nail Salon,39 John Street,BID NE,Personal/Business Services,Nail Salons,Current,,6/1/2021,opened,6/28/2021,a152M00002NrsljQAB,0012M00002XxaTcQAJ,-74.003929,40.7058528
Burte Lash & Nail,39 John Street,BID NE,Personal/Business Services,Eyebrows; Nail Salons,Current,,8/2/2021,opened,8/6/2021,a152M00002ObncsQAB,0012M00002YuN3RQAV,-74.003929,40.7058528
Matto Espresso,39 John Street,BID NE,Restaurant/Bar,Quick Eats,Current,,4/26/2021,opened,,a152M00002N01x7QAB,0012M00002VYdKCQA1,-74.003929,40.7058528
2 Bros. Pizza,39 John Street,BID NE,Restaurant/Bar,Quick Eats,Current,,6/14/2021,opened,6/14/2021,a152M00002NkqM2QAJ,0012M00002XvHBsQAN,-74.003929,40.7058528
Split Eights,40 Exchange Place,BID SE,Restaurant/Bar,Drinks & Barfare,Current,,10/23/2020,opened,1/15/2021,a152M00002KpV8OQAV,0012M00002PpYm9QAF,-74.0103947,40.7059245
New Street Barber Shop,42 Broadway,BID SE,Personal/Business Services,Hair Salons & Barber Shops,Former,,10/1/2020,opened,10/1/2020,a1541000008jTPjAAM,0014100001dLCMmAAO,-74.0126029,40.7059797
Suited,45 John Street,BID NE,Restaurant/Bar,Quick Eats,Current,,7/13/2020,opened,7/13/2020,a152M00002JjDYJQA3,0012M00002NawRfQAJ,-74.0079162,40.7093194
The Migrant Kitchen,48 Stone Street,BID SE,Restaurant/Bar,Full Service Dining,Current,,12/16/2020,opened,1/15/2021,a152M00002LFW7eQAH,0012M00002R6a3hQAB,-74.011576,40.7040261
Sumi Eyelashes,49 Nassau Street,BID NE,Personal/Business Services,Eyebrows,Current,,12/21/2020,opened,1/11/2021,a152M00000BLwaUQAT,0012M00002SZvbUQAT,-74.00923315,40.70894885
7-Eleven,50 Murray Street,BID NW,Restaurant/Bar,Quick Eats,Current,,6/8/2021,opened,6/8/2021,a152M00002NewnWQAR,0012M00002XuSGyQAN,-74.0113336,40.7149221
Nail Spy,51 Murray Street,TBS,Personal/Business Services,Nail Salons,Current,,3/31/2021,opened,4/5/2021,a152M00002N0qRyQAJ,0012M00002VZ4CIQA1,-74.0094222,40.7142983
Gems on Maiden,55 Nassau Street,BID NE,Shopping,Jewelers,Current,,11/16/2020,opened,11/4/2020,a152M00002KsLl3QAF,0012M00002Pq3qvQAB,-74.0090249,40.7090284
Scoops & Snacks,56 Pine Street,BID SE,Restaurant/Bar,Quick Eats,Current,,8/8/2020,opened,1/13/2021,a152M00002K1QYxQAN,0012M00002O4cssQAB,-74.008381,40.706772
P.F. Chang's To-Go,60 Fulton Street,BID NE,Restaurant/Bar,Quick Eats,Current,,1/29/2021,opened,1/6/2021,a152M00002Kvrz7QAB,0012M00002R4iu1QAB,-74.009063,40.710887
Lashes Tribeca,60 Warren Street,TBS,Personal/Business Services,Eyebrows,Current,,12/1/2020,opened,1/11/2021,a152M00000BLwSGQA1,0012M00002SZvQKQA1,-74.0093916,40.7149282
3 Times,66 Pearl Street,BID SE,Restaurant/Bar,Quick Eats,Current,,7/16/2021,opened,7/20/2021,a152M00002ONyH2QAL,0012M00002Yt1SDQAZ,-74.0107329,40.7035582
Biryani Kitchen,67 Wall Street,BID SE,Restaurant/Bar,Quick Eats,Current,,1/18/2021,opened,1/19/2021,a152M00002LXZ3hQAH,0012M00002SO0VqQAL,-74.0082226,40.7055953
ManiCare,69 Murray Street,TBS,Personal/Business Services,Massage,Current,,9/1/2020,opened,1/11/2021,a152M00002KSZ9HQAX,0012M00002PMx67QAD,-74.01031038,40.71471305
Double Smoke Choice,70 Fulton Street,BID NE,Shopping,Cigars,Current,,11/9/2020,opened,11/12/2020,a152M00002KwQkaQAF,0012M00002R4mcsQAB,-74.005466,40.7089365
Mint House at 70 Pine,70 Pine Street,BID SE,Hotel,,Current,,1/27/2021,opened,1/27/2021,a152M00002M0tKPQAZ,0012M00002ScB2DQAV,-74.00770967,40.7064543
Spear Physical Therapy,70 Pine Street,BID SE,Local Resources,Medical,Current,,9/28/2020,opened,1/13/2021,a152M00002KTB5GQAX,0012M00002PmG0dQAF,-74.00770967,40.7064543
SAGA,70 Pine Street,BID SE,Restaurant/Bar,Full Service Dining,Current,,8/24/2021,opened,8/18/2021,a152M00002IMfLIQA1,0012M00002L2KL8QAN,-74.0077715,40.7065047
Brooklyn Beef N' Cheese,70 Pine Street,BID SE,Restaurant/Bar,Quick Eats,Current,,9/16/2020,opened,1/13/2021,a152M00002KHXOUQA5,0012M00002PLItRQAX,-74.00770967,40.7064543
Overstory,70 Pine Street,BID SE,Restaurant/Bar,Drinks & Barfare,Current,,8/24/2021,opened,8/18/2021,a152M00002OpCnLQAV,0012M00002aH6wYQAS,-74.00770967,40.7064543
Salt & Pepper,71 Nassau Street,BID NE,Restaurant/Bar,Quick Eats,Current,,7/13/2020,opened,7/15/2020,a152M00002JjQuYQAV,0012M00002Nb5doQAB,-74.008546,40.709758
Homemade by Miriam,74 Warren Street,TBS,Restaurant/Bar,Quick Eats,Current,,6/12/2020,opened,1/28/2021,a152M00002K0SihQAF,0012M00002O4ZJ0QAN,-74.01010077,40.71524033
Nara Sushi,76 Pearl Street,BID SE,Restaurant/Bar,Quick Eats,Current,,1/1/2021,opened,1/12/2021,a152M00000BMYs2QAH,0012M00002Sa6kpQAB,-74.0104551,40.7037504
Cafe Hestia,80 Maiden Lane,BID SE,Restaurant/Bar,Quick Eats,Current,,5/17/2021,opened,5/17/2021,a152M00002NVar0QAD,0012M00002XAdawQAD,-74.0078158,40.7073222
Five Guys,80 Maiden Lane,BID SE,Restaurant/Bar,Quick Eats,Current,,9/7/2021,opened,,a152M00002PKlLcQAL,0012M00002aIzwvQAC,-74.0078158,40.7073222
Danbangg,80 Nassau Street,BID NE,Restaurant/Bar,Quick Eats,Current,,9/17/2021,opened,9/17/2021,a152M00002PTTXaQAP,0012M00002aJrW2QAK,-74.0079711,40.7098824
The Wall Street Hotel,82 Wall Street,BID SE,Hotel,,Coming Soon,,12/1/2021,opened,9/13/2021,a152M00002OaVzoQAF,0012M00002YuFPIQA3,-74.0075518,40.7054119
Smyth Tribeca,85 West Broadway,TBS,Hotel,,Current,,8/2/2021,opened,8/2/2021,a152M00002OYb0ZQAT,0012M00002Yu80CQAR,-74.0092238,40.7152534
Chop&Go,87 John Street,BID NE,Restaurant/Bar,Quick Eats,Current,,10/26/2020,opened,10/29/2020,a152M00002KoxHWQAZ,0012M00002PpWHSQA3,-74.003929,40.7058528
7-Eleven,88 Greenwich Street,BID SW,Restaurant/Bar,Quick Eats,Current,,3/6/2020,opened,1/11/2021,a152M00002IKG8SQAX,0012M00002JsqrTQAR,-74.0143621,40.7081175
Wattle Cafe,88 Greenwich Street,BID SW,Restaurant/Bar,Quick Eats,Current,,10/19/2020,opened,1/11/2021,a152M00002KnhciQAB,0012M00002PozxlQAB,-74.01407336,40.70791245
Nassau St. Convenience Smoke Shop,88 Nassau Street,BID NE,Shopping,Cigars,Current,,7/23/2021,opened,7/26/2021,a152M00002OSalwQAD,0012M00002YtVKUQA3,-74.00776418,40.7100079
Gorillas,90 West Street,BID SW,Storefront Commercial,,Current,,8/30/2021,opened,8/16/2021,a152M00002OmfC0QAJ,0012M00002aGvh2QAC,-74.01435151,40.70999235
Siena Pizza & Cannoli,94 Greenwich Street,BID SW,Restaurant/Bar,Quick Eats,Current,,10/5/2020,opened,1/11/2021,a152M00002KpVC1QAN,0012M00002PpYmAQAV,-74.0137437,40.7080709
Charles Schwab,96 Broadway,BID SE,Personal/Business Services,Investor,Current,,4/19/2021,opened,4/21/2021,a1541000008jSQAAA2,0014100001dLBUTAA4,-74.00952857,40.7066014
American Beauty Salon,98 William Street,BID NE,Personal/Business Services,Hair Salons & Barber Shops,Current,,10/19/2020,opened,10/26/2020,a152M00002KngnaQAB,0012M00002PoyZeQAJ,-74.0072883,40.7087143
Orangetheory Fitness,98 William Street,BID NE,Personal/Business Services,Fitness Centers,Current,,11/21/2020,opened,12/1/2020,a152M00002KScLUQA1,0012M00002PN0AfQAL,-74.0072883,40.7087143
QCNY,Governors Island,BPK,Personal/Business Services,Massage; Spas,Current,,10/1/2021,opened,9/7/2021,a152M00002OPtePQAT,0012M00002YtC9hQAF,-74.01820132,40.6887692
Momofuku Ssäm Bar,Pier 17,SSS,Restaurant/Bar,Full Service Dining,Current,,4/22/2021,opened,4/19/2021,a152M00002MplR1QAJ,0012M00002VYOfVQAX,-74.00201136,40.7058275
Mister Dips,Pier 17,SSS,Restaurant/Bar,Quick Eats,Current,,5/27/2021,opened,5/26/2021,a152M00002MplTCQAZ,0012M00002VYOr9QAH,-74.00201136,40.7058275
Wetzel's Pretzels,200 Broadway,BID NE,Restaurant/Bar,Quick Eats,Former,12/31/2020,3/23/2016,closed,,a1541000008jS05AAE,0014100001dLFpdAAG,-74.0089171,40.7104473
The Great American Bagel Bakery,200 Broadway,BID NE,Restaurant/Bar,Quick Eats,Former,12/31/2020,6/12/2017,closed,1/22/2021,a1541000008jS3XAAU,0014100001dLFwBAAW,-74.0089171,40.7104473
Polarn O. Pyret,200 Chambers Street,TBS,Shopping,Clothing,Former,11/9/2020,12/2/2011,closed,,a1541000008jTahAAE,0014100001dLFN1AAO,-74.011958,40.716078
The Chubby Princess,200 Water Street,BID NE,Restaurant/Bar,Full Service Dining,Former,6/23/2020,11/17/2017,closed,6/23/2020,a1541000008jTxGAAU,0014100001dLE4NAAW,-74.0067575,40.7073413
Plaza Deli,200 Water Street,BID NE,Restaurant/Bar,Quick Eats,Former,9/30/2020,,closed,9/30/2020,a1541000008jTaXAAU,0014100001dLBoQAAW,-74.0067575,40.7073413
Artsee Eyewear,200 West Street,NBPC,Shopping,Eyewear,Former,9/30/2020,12/8/2011,closed,10/2/2020,a1541000008jRxBAAU,0014100001dLFN3AAO,-74.01477833,40.71512288
DITA Eyewear,21 Fulton Street,SSS,Shopping,Eyewear,Former,12/31/2020,3/14/2018,closed,8/25/2020,a1541000008jSewAAE,0014100001dLFmgAAG,-74.003666,40.707136
Spot Canine Club,21 Murray Street,TBS,Shopping,"Pets Store, Supplies & Services",Former,10/4/2020,,closed,10/4/2020,a1541000008jToHAAU,0014100001dLEYkAAO,-74.00831067,40.71365619
Ningbo Cafe,21 South End Avenue,BPC,Restaurant/Bar,Full Service Dining,Former,5/22/2020,3/7/2018,closed,5/22/2020,a1541000008jTSlAAM,0014100001dLFptAAG,-74.016842,40.713273
New York Sports Club,217 Broadway,BID NW,Personal/Business Services,Fitness Centers,Former,1/1/2021,,closed,2/17/2021,a1541000008jTRXAA2,0014100001dLBjhAAG,-74.00855974,40.71167906
Staples,217 Broadway,BID NW,Shopping,Office Supplies & Equipment,Former,4/1/2021,,closed,2/19/2021,a1541000008jTosAAE,0014100001dLCAkAAO,-74.00855974,40.71167906
Financier Patisserie,22 Cortlandt Street,BID NW,Restaurant/Bar,Quick Eats,Former,8/11/2020,12/31/2019,closed,10/13/2020,a152M00002JjKHPQA3,0014100001dLBuKAAW,-74.01105306,40.70959625
Century 21 Department Stores,22 Cortlandt Street,BID NW,Shopping,Department Stores,Former,12/1/2020,,closed,2/9/2021,a1541000008jSPXAA2,0014100001dLBdFAAW,-74.01105306,40.70959625
Bin 220,220 Front Street,SSS,Restaurant/Bar,Drinks & Barfare,Former,10/1/2020,1/1/2006,closed,1/3/2019,a1541000008jRvmAAE,0014100001dLE3GAAW,-74.002233,40.707526
Jack's Stir Brew Coffee,220 Front Street,SSS,Restaurant/Bar,Quick Eats,Former,3/1/2021,1/1/2006,closed,3/1/2021,a1541000008jRvqAAE,0014100001dLE09AAG,-74.002233,40.707526
Pret A Manger,222 Broadway,BID NE,Restaurant/Bar,Quick Eats,Former,3/25/2021,7/20/2017,closed,4/14/2021,a1541000008jS3eAAE,0014100001dLFwSAAW,-74.0083944,40.7108734
Skinny Pizza,225 Liberty Street,WFC,Restaurant/Bar,Quick Eats,Former,6/30/2021,6/3/2014,closed,7/12/2021,a1541000008jRyNAAU,0014100001dLFciAAG,-74.015486,40.7123253
Fuku,225 Liberty Street,WFC,Restaurant/Bar,Quick Eats,Former,7/1/2021,1/16/2018,closed,7/12/2021,a1541000008jSp1AAE,0014100001dLFcjAAG,-74.015486,40.7123253
Pink,225 Liberty Street,WFC,Shopping,Clothing,Former,7/1/2020,10/16/2019,closed,8/17/2020,a152M00002GuJfQQAV,0014100001dLE6fAAG,-74.015486,40.7123253
Flowers by Yasmine,225 Liberty Street,WFC,Shopping,Florists,Former,7/31/2020,7/14/2016,closed,7/20/2020,a1541000008jSnKAAU,0014100001dLCf7AAG,-74.015486,40.7123253
Made Fresh Daily,226 Front Street,SSS,Restaurant/Bar,Quick Eats,Former,1/15/2021,11/10/2008,closed,1/15/2021,a1541000008jRwEAAU,0014100001dLCkHAAW,-74.00214295,40.70760005
Northern Tiger,230 Vesey Street,WFC,Restaurant/Bar,Quick Eats,Former,9/1/2020,3/18/2015,closed,,a1541000008jRytAAE,0014100001dLFhJAAW,-74.0154149,40.7131304
Paul Smith,230 Vesey Street,WFC,Shopping,Clothing,Former,7/1/2020,3/25/2015,closed,8/17/2020,a1541000008jRz0AAE,0014100001dLFmrAAG,-74.0154149,40.7131304
Herm?s,230 Vesey Street,WFC,Shopping,Beauty & Fragrances,Former,7/1/2020,3/26/2015,closed,8/17/2020,a1541000008jRz3AAE,0014100001dLFn4AAG,-74.0154149,40.7131304
Burberry,230 Vesey Street,WFC,Shopping,Clothing,Former,7/1/2020,4/2/2015,closed,8/17/2020,a1541000008jRzAAAU,0014100001dLFnKAAW,-74.0154149,40.7131304
Joie,230 Vesey Street,WFC,Shopping,Clothing,Former,11/16/2020,10/24/2016,closed,11/4/2020,a1541000008jS2YAAU,0014100001dLFuLAAW,-74.0154149,40.7131304
Babesta,230 Vesey Street,WFC,Shopping,Clothing,Former,1/31/2021,3/15/2015,closed,2/1/2021,a1541000008jRyrAAE,0014100001dLFnGAAW,-74.0154149,40.7131304
Starbucks,233 Broadway,BID NW,Restaurant/Bar,Quick Eats,Former,7/1/2020,,closed,8/21/2020,a1541000008jTp1AAE,0014100001dLCkQAAW,-74.0082925,40.7124491
The Wooly Public,233 Broadway,BID NW,Restaurant/Bar,Full Service Dining,Former,1/20/2021,1/1/2006,closed,,a1541000008jRvxAAE,0014100001dLC3nAAG,-74.0082925,40.7124491
Cohen's Fashion Optical,233 Broadway,BID NW,Shopping,Eyewear,Former,6/1/2021,10/21/2014,closed,,a1541000008jSXtAAM,0014100001dLBU5AAO,-74.0082925,40.7124491
Exchange Cleaners,25 Broad Street,BID SE,Personal/Business Services,Dry Cleaning,Former,12/1/2020,,closed,11/4/2020,a1541000008jSkLAAU,0014100001dLBVRAA4,-74.0111372,40.7060887
Guess,25 Fulton Street,SSS,Shopping,Clothing,Former,12/31/2020,,closed,1/13/2021,a1541000008jSuBAAU,0014100001dLBRLAA4,-74.003778,40.707246
Book Nook,25 Murray Street,TBS,Local Resources,Education,Former,10/4/2020,7/12/2018,closed,10/4/2020,a154100000APBMhAAP,0014100001mc6cpAAA,-74.0081429,40.7140217
Downtown Florist,25 Murray Street,TBS,Shopping,Florists,Former,7/22/2020,8/30/2012,closed,7/22/2020,a1541000008jRxhAAE,0014100001dLFRlAAO,-74.0081429,40.7140217
Chase Bank,253 Broadway,TBS,Personal/Business Services,ATM & Banking,Former,11/20/2020,,closed,8/25/2020,a1541000008jSQMAA2,0014100001dLEHpAAO,-74.007234,40.71326
Transcendental Meditation Program,26 Beaver Street,BID SE,Storefront Commercial,,Former,10/19/2020,8/14/2019,closed,10/29/2020,a152M00002BqXTRQA3,0012M00002EfCJ6QAN,-74.0119835,40.7048175
ACQUA at Peck Slip,261 Water Street,SSS,Restaurant/Bar,Full Service Dining,Former,6/12/2020,1/1/2006,closed,6/16/2020,a1541000008jRvlAAE,0014100001dLCh1AAG,-74.00172361,40.7082435
Chase Bank,270 Broadway,TBS,Personal/Business Services,ATM & Banking,Former,1/11/2021,,closed,1/11/2021,a1541000008jSQIAA2,0014100001dLEHEAA4,-74.0072147,40.7143487
Hank's Juicy Beef,270 Broadway,TBS,Restaurant/Bar,Quick Eats,Former,11/9/2020,5/10/2016,closed,11/9/2020,a1541000008jS0GAAU,0014100001dLFpqAAG,-74.0072147,40.7143487
Poké Green,275 Greenwich Street,TBS,Restaurant/Bar,Quick Eats,Former,10/4/2020,9/8/2017,closed,10/4/2020,a1541000008jTadAAE,0014100001dLD9GAAW,-74.0108719,40.7151628
Yoga Shanti,28 Warren Street,TBS,Personal/Business Services,Fitness Centers,Former,7/17/2020,5/21/2018,closed,7/20/2020,a1541000008lvvYAAQ,0014100001mc6dsAAA,-74.0079198,40.7143886
Reform Club Movement Studio,28 Warren Street,TBS,Personal/Business Services,Fitness Centers,Former,10/4/2020,10/14/2019,closed,10/16/2019,a152M00002GuJBzQAN,0012M00002GbELIQA3,-74.0079198,40.7143886
Ray's Jewelry,3 Hanover Square,BID SE,Shopping,Jewelers,Former,1/31/2021,,closed,1/12/2021,a1541000008jTe5AAE,0014100001dLBjRAAW,-74.00972569,40.7048742
Leonidas Belgian Chocolates,3 Hanover Square,BID SE,Shopping,Candy & Chocolate,Former,3/1/2021,,closed,3/3/2021,a1541000008jTD7AAM,0014100001dLBZCAA4,-74.00972569,40.7048742
Bluestone Lane Coffee,30 Broad Street,BID SE,Restaurant/Bar,Quick Eats,Former,1/15/2021,7/10/2013,closed,1/15/2021,a1541000008jSJgAAM,0014100001dLC5LAAW,-74.011535,40.706112
My.Suit,30 Broad Street,BID SE,Shopping,Clothing,Former,11/3/2020,1/16/2009,closed,11/3/2020,a1541000008jTNYAA2,0014100001dLBSjAAO,-74.011535,40.706112
Travelex Currency Services Inc.,30 Vesey Street,BID NW,Personal/Business Services,Currency Exchange,Former,7/9/2021,,closed,,a1541000008jTyNAAU,0014100001dLBdAAAW,-74.0099509,40.71209723
Godiva Chocolatier,33 Maiden Lane,BID NE,Shopping,Candy & Chocolate,Former,10/1/2020,,closed,10/1/2020,a1541000008jSsPAAU,0014100001dLCK6AAO,-74.0084933,40.7091363
7-Eleven,38 Warren Street,TBS,Restaurant/Bar,Quick Eats,Former,3/13/2020,,closed,,a1541000008jS70AAE,0014100001dLE7oAAG,-74.00845479,40.71452058
Sleepy's,38 Warren Street,TBS,Shopping,Home Goods,Former,3/13/2020,,closed,,a1541000008jTmhAAE,0014100001dLCkcAAG,-74.00845479,40.71452058
Namira Inc.,38 Warren Street,TBS,Shopping,Office Supplies & Equipment,Former,11/1/2020,7/22/2019,closed,1/11/2021,a152M00001uI8GJQA0,0012M00002DHf1TQAT,-74.00845479,40.71452058
C & J Luxury Inc.,39 John Street,BID NE,Personal/Business Services,Nail Salons; Spas,Former,9/30/2020,,closed,9/30/2020,a1541000008jSMoAAM,0014100001dLBd2AAG,-74.008132,40.709435
Jupioca,39 John Street,BID NE,Restaurant/Bar,Quick Eats,Former,9/30/2020,5/15/2013,closed,,a1541000008jUBDAA2,0014100001dLCK2AAO,-74.008132,40.709435
9 to 5 Fashion Outlet,39 John Street,BID NE,Shopping,Clothing,Former,9/30/2020,1/14/2013,closed,9/30/2020,a1541000008jS79AAE,0014100001dLC41AAG,-74.008132,40.709435
S&M Universal Jewelry,39 John Street,BID NE,Shopping,Jewelers,Former,9/30/2020,,closed,9/30/2020,a1541000008jTiOAAU,0014100001dLCGEAA4,-74.008132,40.709435
Fabio Doti Hair Salon,40 Exchange Place,BID SE,Personal/Business Services,Hair Salons & Barber Shops,Former,10/2/2020,,closed,10/2/2020,a1541000008jSknAAE,0014100001dLFMUAA4,-74,40
Minas Shoe Repair Inc.,40 Exchange Place,BID SE,Personal/Business Services,Shoe Repair & Shine,Former,11/4/2020,1/25/2018,closed,11/4/2020,a1541000008jTLJAA2,0014100001dLC5dAAG,-74,40
Marie Costa News Stand,40 Exchange Place,BID SE,Shopping,Grocery & Convenience,Former,10/2/2020,,closed,10/2/2020,a1541000008jTGkAAM,0014100001dLCkiAAG,-74,40
Water Street Greenmarket,40 Water Street,BID SE,Shopping,Greenmarkets,Former,10/2/2020,6/24/2015,closed,,a1541000008jRzNAAU,0014100001dLFoMAAW,-74.010253,40.703526
RHX Super Value,41 John Street,BID NE,Shopping,Department Stores,Former,11/13/2020,2/6/2017,closed,11/4/2020,a1541000008jS0FAAU,0014100001dLC5SAAW,-74.008056,40.709349
Sola Lab,45 Beekman Street,BID NE,Restaurant/Bar,Full Service Dining,Former,11/16/2020,10/25/2018,closed,11/17/2020,a154100000ANxf2AAD,0014100001yTTXTAA4,-74.0055219,40.71022062
American Foliage,47 Ann Street,BID NE,Shopping,Florists,Former,12/1/2020,9/28/2015,closed,1/11/2021,a1541000008jRzXAAU,0014100001dLCknAAG,-74.00687667,40.71037373
China Chalet,47 Broadway,BID SW,Restaurant/Bar,Full Service Dining,Former,7/3/2020,,closed,,a1541000008jSQoAAM,0014100001dLCMiAAO,-74.012974,40.706401
NY Gifts,47 Broadway,BID SW,Shopping,Cards & Stationary,Former,9/1/2020,4/3/2013,closed,,a1541000008jTTeAAM,0014100001dLCMhAAO,-74.012974,40.706401
